Sample,qseqid,sseqid,pident,evalue,score,bitscore,length,qstart,qend,sstart,send,stitle,species,query_length
Q61,TRINITY_DN36854_c0_g1_i1,CAJHUB010000789.1,99.336,0,295,545,301,1,301,32094187,32094487,"CAJHUB010000789.1 Nyctereutes procyonoides isolate TBG_1078 genome assembly, contig: Nypro809, whole genome shotgun sequence",Nyctereutes procyonoides,302
Q61,TRINITY_DN10140_c0_g1_i1,CAJHUB010000710.1,99.013,0,295,545,304,1,304,60315,60012,"CAJHUB010000710.1 Nyctereutes procyonoides isolate TBG_1078 genome assembly, contig: Nypro738, whole genome shotgun sequence",Nyctereutes procyonoides,304
Q61,TRINITY_DN27261_c0_g1_i1,CAJHUB010000719.1,99.338,0,296,547,302,1,302,14312,14011,"CAJHUB010000719.1 Nyctereutes procyonoides isolate TBG_1078 genome assembly, contig: Nypro746, whole genome shotgun sequence",Nyctereutes procyonoides,303
Q61,TRINITY_DN19160_c0_g1_i1,CAJHUB010000672.1,99.338,0,296,547,302,1,302,45195377,45195076,"CAJHUB010000672.1 Nyctereutes procyonoides isolate TBG_1078 genome assembly, contig: Nypro703, whole genome shotgun sequence",Nyctereutes procyonoides,302
Q61,TRINITY_DN63024_c0_g1_i1,CAJHUB010000649.1,99.338,0,296,547,302,1,302,61081973,61081672,"CAJHUB010000649.1 Nyctereutes procyonoides isolate TBG_1078 genome assembly, contig: Nypro683, whole genome shotgun sequence",Nyctereutes procyonoides,302
Q61,TRINITY_DN77637_c0_g1_i1,CAJHUB010000784.1,99.34,0,296,547,303,1,302,18450611,18450309,"CAJHUB010000784.1 Nyctereutes procyonoides isolate TBG_1078 genome assembly, contig: Nypro804, whole genome shotgun sequence",Nyctereutes procyonoides,302
Q61,TRINITY_DN14711_c0_g1_i1,CAJHUB010000653.1,99.338,0,296,547,302,1,302,4332896,4333197,"CAJHUB010000653.1 Nyctereutes procyonoides isolate TBG_1078 genome assembly, contig: Nypro687, whole genome shotgun sequence",Nyctereutes procyonoides,308
Q61,TRINITY_DN72414_c0_g1_i1,CAJHUB010000649.1,99.338,0,296,547,302,1,302,43271329,43271630,"CAJHUB010000649.1 Nyctereutes procyonoides isolate TBG_1078 genome assembly, contig: Nypro683, whole genome shotgun sequence",Nyctereutes procyonoides,302
Q61,TRINITY_DN57061_c0_g1_i1,CAJHUB010000730.1,99.338,0,296,547,302,1,302,59964,60265,"CAJHUB010000730.1 Nyctereutes procyonoides isolate TBG_1078 genome assembly, contig: Nypro756, whole genome shotgun sequence",Nyctereutes procyonoides,302
Q61,TRINITY_DN58601_c0_g1_i1,CAJHUB010000758.1,99.338,0,296,547,302,2,303,439313,439614,"CAJHUB010000758.1 Nyctereutes procyonoides isolate TBG_1078 genome assembly, contig: Nypro781, whole genome shotgun sequence",Nyctereutes procyonoides,303
Q61,TRINITY_DN69876_c0_g1_i1,CAJHUB010000752.1,99.338,0,296,547,302,1,302,5617220,5616919,"CAJHUB010000752.1 Nyctereutes procyonoides isolate TBG_1078 genome assembly, contig: Nypro776, whole genome shotgun sequence",Nyctereutes procyonoides,302
Q61,TRINITY_DN61134_c0_g1_i1,NW_024009717.1,99.338,0,296,547,302,3,304,171262,170961,"NW_024009717.1 Anas platyrhynchos isolate Z2 breed Pekin duck unplaced genomic scaffold, ZJU1.0 scaffold165, whole genome shotgun sequence",Anas platyrhynchos,304
Q61,TRINITY_DN65332_c0_g1_i1,CAJHUB010000769.1,99.02,0,297,549,306,4,309,28296379,28296074,"CAJHUB010000769.1 Nyctereutes procyonoides isolate TBG_1078 genome assembly, contig: Nypro791, whole genome shotgun sequence",Nyctereutes procyonoides,309
Q61,TRINITY_DN13653_c0_g1_i1,CAJHUB010000744.1,99.342,0,297,549,304,1,302,67459,67156,"CAJHUB010000744.1 Nyctereutes procyonoides isolate TBG_1078 genome assembly, contig: Nypro769, whole genome shotgun sequence",Nyctereutes procyonoides,367
Q61,TRINITY_DN39935_c0_g1_i1,CAJHUB010000709.1,99.34,0,297,549,303,1,303,99931,99629,"CAJHUB010000709.1 Nyctereutes procyonoides isolate TBG_1078 genome assembly, contig: Nypro737, whole genome shotgun sequence",Nyctereutes procyonoides,303
Q61,TRINITY_DN71568_c0_g1_i1,CAJHUB010000622.1,99.023,0,297,549,307,1,305,77784,78090,"CAJHUB010000622.1 Nyctereutes procyonoides isolate TBG_1078 genome assembly, contig: Nypro659, whole genome shotgun sequence",Nyctereutes procyonoides,305
Q61,TRINITY_DN45164_c0_g1_i1,CAJHUB010000774.1,99.342,0,298,551,304,1,304,23943985,23944288,"CAJHUB010000774.1 Nyctereutes procyonoides isolate TBG_1078 genome assembly, contig: Nypro796, whole genome shotgun sequence",Nyctereutes procyonoides,304
Q61,TRINITY_DN56148_c1_g1_i1,CAJHUB010000586.1,99.026,0,298,551,308,2,308,14547,14240,"CAJHUB010000586.1 Nyctereutes procyonoides isolate TBG_1078 genome assembly, contig: Nypro626, whole genome shotgun sequence",Nyctereutes procyonoides,308
Q61,TRINITY_DN70217_c0_g1_i1,NC_051785.1,99.668,0,298,551,301,1,301,11306432,11306732,"NC_051785.1 Anas platyrhynchos isolate Z2 breed Pekin duck chromosome 14, ZJU1.0, whole genome shotgun sequence",Anas platyrhynchos,301
Q61,TRINITY_DN79782_c0_g1_i1,CAJHUB010000758.1,99.342,0,298,551,304,1,304,224574,224271,"CAJHUB010000758.1 Nyctereutes procyonoides isolate TBG_1078 genome assembly, contig: Nypro781, whole genome shotgun sequence",Nyctereutes procyonoides,304
Q61,TRINITY_DN18271_c0_g1_i1,CAJHUB010000672.1,99.668,0,298,551,301,1,301,47126162,47126462,"CAJHUB010000672.1 Nyctereutes procyonoides isolate TBG_1078 genome assembly, contig: Nypro703, whole genome shotgun sequence",Nyctereutes procyonoides,301
Q61,TRINITY_DN77500_c0_g1_i1,CAJHUB010000672.1,99.668,0,298,551,301,1,301,47054848,47055148,"CAJHUB010000672.1 Nyctereutes procyonoides isolate TBG_1078 genome assembly, contig: Nypro703, whole genome shotgun sequence",Nyctereutes procyonoides,301
Q61,TRINITY_DN28065_c0_g1_i1,CAJHUB010000789.1,99.029,0,298,551,309,3,309,32078384,32078691,"CAJHUB010000789.1 Nyctereutes procyonoides isolate TBG_1078 genome assembly, contig: Nypro809, whole genome shotgun sequence",Nyctereutes procyonoides,309
Q61,TRINITY_DN1375_c0_g1_i1,CAJHUB010000789.1,99.668,0,298,551,301,1,301,32342923,32343223,"CAJHUB010000789.1 Nyctereutes procyonoides isolate TBG_1078 genome assembly, contig: Nypro809, whole genome shotgun sequence",Nyctereutes procyonoides,301
Q61,TRINITY_DN60002_c0_g1_i1,CAJHUB010000760.1,99.668,0,298,551,301,4,304,25055892,25055592,"CAJHUB010000760.1 Nyctereutes procyonoides isolate TBG_1078 genome assembly, contig: Nypro783, whole genome shotgun sequence",Nyctereutes procyonoides,304
Q61,TRINITY_DN54384_c0_g1_i1,CAJHUB010000760.1,99.668,0,298,551,301,2,302,24927136,24926836,"CAJHUB010000760.1 Nyctereutes procyonoides isolate TBG_1078 genome assembly, contig: Nypro783, whole genome shotgun sequence",Nyctereutes procyonoides,302
Q61,TRINITY_DN20946_c0_g1_i1,CAJHUB010000752.1,99.668,0,298,551,301,1,301,5577738,5577438,"CAJHUB010000752.1 Nyctereutes procyonoides isolate TBG_1078 genome assembly, contig: Nypro776, whole genome shotgun sequence",Nyctereutes procyonoides,301
Q61,TRINITY_DN56569_c0_g1_i1,CAJHUB010000653.1,99.344,0,298,551,305,1,304,4022860,4023163,"CAJHUB010000653.1 Nyctereutes procyonoides isolate TBG_1078 genome assembly, contig: Nypro687, whole genome shotgun sequence",Nyctereutes procyonoides,304
Q61,TRINITY_DN71504_c0_g1_i1,NC_006605.4,99.023,0,298,551,307,1,307,47243305,47242999,"NC_006605.4 Canis lupus familiaris isolate Tasha breed boxer chromosome 23, alternate assembly Dog10K_Boxer_Tasha, whole genome shotgun sequence",Canis lupus,307
Q61,TRINITY_DN31767_c0_g1_i1,CAJHUB010000599.1,99.023,0,298,551,307,1,307,60772,60466,"CAJHUB010000599.1 Nyctereutes procyonoides isolate TBG_1078 genome assembly, contig: Nypro638, whole genome shotgun sequence",Nyctereutes procyonoides,307
Q61,TRINITY_DN27254_c0_g1_i1,CAJHUB010000714.1,99.342,0,298,551,304,1,304,148241,147938,"CAJHUB010000714.1 Nyctereutes procyonoides isolate TBG_1078 genome assembly, contig: Nypro741, whole genome shotgun sequence",Nyctereutes procyonoides,304
Q61,TRINITY_DN62377_c0_g1_i1,CAJHUB010000607.1,99.668,0,298,551,301,1,301,39524,39224,"CAJHUB010000607.1 Nyctereutes procyonoides isolate TBG_1078 genome assembly, contig: Nypro645, whole genome shotgun sequence",Nyctereutes procyonoides,301
Q61,TRINITY_DN21088_c0_g1_i1,NW_006804012.1,99.026,0,299,553,308,1,308,1407497,1407804,"NW_006804012.1 Erinaceus europaeus isolate Erinaceus europaeus_13Jul2011 unplaced genomic scaffold, EriEur2.0 scaffold00089, whole genome shotgun sequence",Erinaceus europaeus,311
Q61,TRINITY_DN1214_c0_g1_i1,CAJHUB010000627.1,99.346,0,299,553,306,1,305,116981,117286,"CAJHUB010000627.1 Nyctereutes procyonoides isolate TBG_1078 genome assembly, contig: Nypro663, whole genome shotgun sequence",Nyctereutes procyonoides,305
Q61,TRINITY_DN28562_c0_g1_i1,CAJHUB010000738.1,99.026,0,299,553,308,1,308,297356,297049,"CAJHUB010000738.1 Nyctereutes procyonoides isolate TBG_1078 genome assembly, contig: Nypro763, whole genome shotgun sequence",Nyctereutes procyonoides,308
Q61,TRINITY_DN26664_c0_g1_i1,CAJHUB010000726.1,99.67,0,299,553,303,1,303,193343,193644,"CAJHUB010000726.1 Nyctereutes procyonoides isolate TBG_1078 genome assembly, contig: Nypro752, whole genome shotgun sequence",Nyctereutes procyonoides,312
Q61,TRINITY_DN8467_c0_g1_i1,CAJHUB010000653.1,99.344,0,299,553,305,1,305,4373505,4373201,"CAJHUB010000653.1 Nyctereutes procyonoides isolate TBG_1078 genome assembly, contig: Nypro687, whole genome shotgun sequence",Nyctereutes procyonoides,305
Q61,TRINITY_DN59190_c1_g1_i1,CAJHUB010000627.1,99.344,0,299,553,305,1,305,77256,77560,"CAJHUB010000627.1 Nyctereutes procyonoides isolate TBG_1078 genome assembly, contig: Nypro663, whole genome shotgun sequence",Nyctereutes procyonoides,305
Q61,TRINITY_DN44218_c0_g1_i1,CAJHUB010000653.1,99.669,0,299,553,302,1,302,4279410,4279109,"CAJHUB010000653.1 Nyctereutes procyonoides isolate TBG_1078 genome assembly, contig: Nypro687, whole genome shotgun sequence",Nyctereutes procyonoides,302
Q61,TRINITY_DN59007_c0_g1_i1,CAJHUB010000769.1,99.669,0,299,553,302,3,304,28401868,28402169,"CAJHUB010000769.1 Nyctereutes procyonoides isolate TBG_1078 genome assembly, contig: Nypro791, whole genome shotgun sequence",Nyctereutes procyonoides,304
Q61,TRINITY_DN690_c0_g1_i1,CAJHUB010000621.1,99.344,0,299,553,305,1,305,114126,113822,"CAJHUB010000621.1 Nyctereutes procyonoides isolate TBG_1078 genome assembly, contig: Nypro658, whole genome shotgun sequence",Nyctereutes procyonoides,305
Q61,TRINITY_DN2358_c0_g1_i1,CAJHUB010000731.1,99.344,0,299,553,305,1,305,48553,48857,"CAJHUB010000731.1 Nyctereutes procyonoides isolate TBG_1078 genome assembly, contig: Nypro757, whole genome shotgun sequence",Nyctereutes procyonoides,305
Q61,TRINITY_DN3200_c0_g1_i1,CAJHUB010000560.1,99.67,0,299,553,303,1,303,22811,22510,"CAJHUB010000560.1 Nyctereutes procyonoides isolate TBG_1078 genome assembly, contig: Nypro602, whole genome shotgun sequence",Nyctereutes procyonoides,303
Q61,TRINITY_DN82736_c0_g1_i1,CAJHUB010000749.1,99.346,0,300,555,306,1,306,47367957,47367652,"CAJHUB010000749.1 Nyctereutes procyonoides isolate TBG_1078 genome assembly, contig: Nypro773, whole genome shotgun sequence",Nyctereutes procyonoides,306
Q61,TRINITY_DN28389_c0_g1_i1,CAJHUB010000671.1,99.346,0,300,555,306,16,321,47859602,47859297,"CAJHUB010000671.1 Nyctereutes procyonoides isolate TBG_1078 genome assembly, contig: Nypro702, whole genome shotgun sequence",Nyctereutes procyonoides,321
Q61,TRINITY_DN43837_c0_g1_i1,CAJHUB010000627.1,99.346,0,300,555,306,1,306,88568,88873,"CAJHUB010000627.1 Nyctereutes procyonoides isolate TBG_1078 genome assembly, contig: Nypro663, whole genome shotgun sequence",Nyctereutes procyonoides,306
Q61,TRINITY_DN20433_c0_g1_i1,CAJHUB010000736.1,99.346,0,300,555,306,1,306,111813,112118,"CAJHUB010000736.1 Nyctereutes procyonoides isolate TBG_1078 genome assembly, contig: Nypro761, whole genome shotgun sequence",Nyctereutes procyonoides,306
Q61,TRINITY_DN29614_c0_g1_i1,CAJHUB010000677.1,99.67,0,300,555,303,1,303,21381585,21381283,"CAJHUB010000677.1 Nyctereutes procyonoides isolate TBG_1078 genome assembly, contig: Nypro708, whole genome shotgun sequence",Nyctereutes procyonoides,303
Q61,TRINITY_DN57872_c0_g1_i1,CAJHUB010000672.1,99.67,0,300,555,303,1,303,45286434,45286736,"CAJHUB010000672.1 Nyctereutes procyonoides isolate TBG_1078 genome assembly, contig: Nypro703, whole genome shotgun sequence",Nyctereutes procyonoides,303
Q61,TRINITY_DN33498_c0_g1_i1,CAJHUB010000726.1,99.671,0,300,555,304,1,303,165423,165120,"CAJHUB010000726.1 Nyctereutes procyonoides isolate TBG_1078 genome assembly, contig: Nypro752, whole genome shotgun sequence",Nyctereutes procyonoides,303
Q61,TRINITY_DN49137_c0_g1_i1,CAJHUB010000672.1,99.67,0,300,555,303,1,303,45249204,45249506,"CAJHUB010000672.1 Nyctereutes procyonoides isolate TBG_1078 genome assembly, contig: Nypro703, whole genome shotgun sequence",Nyctereutes procyonoides,303
Q61,TRINITY_DN62913_c0_g1_i1,CAJHUB010000653.1,99.671,0,300,555,304,1,304,4037981,4038283,"CAJHUB010000653.1 Nyctereutes procyonoides isolate TBG_1078 genome assembly, contig: Nypro687, whole genome shotgun sequence",Nyctereutes procyonoides,304
Q61,TRINITY_DN47197_c0_g1_i1,CAJHUB010000647.1,99.67,0,300,555,303,1,303,61321,61019,"CAJHUB010000647.1 Nyctereutes procyonoides isolate TBG_1078 genome assembly, contig: Nypro681, whole genome shotgun sequence",Nyctereutes procyonoides,303
Q61,TRINITY_DN27808_c0_g1_i1,CAJHUB010000766.1,99.671,0,300,555,304,1,304,35712,36014,"CAJHUB010000766.1 Nyctereutes procyonoides isolate TBG_1078 genome assembly, contig: Nypro789, whole genome shotgun sequence",Nyctereutes procyonoides,314
Q61,TRINITY_DN28536_c0_g1_i1,CAJHUB010000715.1,99.671,0,300,555,304,11,314,62924,62622,"CAJHUB010000715.1 Nyctereutes procyonoides isolate TBG_1078 genome assembly, contig: Nypro742, whole genome shotgun sequence",Nyctereutes procyonoides,314
Q61,TRINITY_DN76787_c0_g1_i1,CAJHUB010000628.1,100,0,301,556,301,1,301,113979,114279,"CAJHUB010000628.1 Nyctereutes procyonoides isolate TBG_1078 genome assembly, contig: Nypro664, whole genome shotgun sequence",Nyctereutes procyonoides,301
Q61,TRINITY_DN44639_c0_g1_i1,CAJHUB010000630.1,100,0,301,556,301,1,301,104652,104352,"CAJHUB010000630.1 Nyctereutes procyonoides isolate TBG_1078 genome assembly, contig: Nypro666, whole genome shotgun sequence",Nyctereutes procyonoides,301
Q61,TRINITY_DN27157_c1_g1_i1,CAJHUB010000622.1,100,0,301,556,301,1,301,32428,32128,"CAJHUB010000622.1 Nyctereutes procyonoides isolate TBG_1078 genome assembly, contig: Nypro659, whole genome shotgun sequence",Nyctereutes procyonoides,301
Q61,TRINITY_DN0_c4_g1_i1,CAJHUB010000622.1,100,0,301,556,301,1,301,32128,32428,"CAJHUB010000622.1 Nyctereutes procyonoides isolate TBG_1078 genome assembly, contig: Nypro659, whole genome shotgun sequence",Nyctereutes procyonoides,301
Q61,TRINITY_DN11002_c0_g1_i1,NC_051804.1,100,0,301,556,301,1,301,56264059,56263759,"NC_051804.1 Anas platyrhynchos isolate Z2 breed Pekin duck chromosome Z, ZJU1.0, whole genome shotgun sequence",Anas platyrhynchos,301
Q61,TRINITY_DN7530_c0_g1_i1,CAJHUB010000622.1,99.349,0,301,556,307,1,307,112440,112134,"CAJHUB010000622.1 Nyctereutes procyonoides isolate TBG_1078 genome assembly, contig: Nypro659, whole genome shotgun sequence",Nyctereutes procyonoides,307
Q61,TRINITY_DN72365_c0_g1_i1,CAJHUB010000738.1,100,0,301,556,301,1,301,316238,315938,"CAJHUB010000738.1 Nyctereutes procyonoides isolate TBG_1078 genome assembly, contig: Nypro763, whole genome shotgun sequence",Nyctereutes procyonoides,301
Q61,TRINITY_DN3187_c0_g1_i1,CAJHUB010000622.1,99.349,0,301,556,307,1,307,95079,94773,"CAJHUB010000622.1 Nyctereutes procyonoides isolate TBG_1078 genome assembly, contig: Nypro659, whole genome shotgun sequence",Nyctereutes procyonoides,307
Q61,TRINITY_DN8824_c0_g1_i1,CAJHUB010000693.1,99.038,0,301,556,312,1,311,88195,88504,"CAJHUB010000693.1 Nyctereutes procyonoides isolate TBG_1078 genome assembly, contig: Nypro722, whole genome shotgun sequence",Nyctereutes procyonoides,311
Q61,TRINITY_DN14077_c0_g1_i1,CAJHUB010000735.1,100,0,301,556,301,1,301,206217,206517,"CAJHUB010000735.1 Nyctereutes procyonoides isolate TBG_1078 genome assembly, contig: Nypro760, whole genome shotgun sequence",Nyctereutes procyonoides,301
Q61,TRINITY_DN45043_c0_g1_i1,CAJHUB010000608.1,100,0,301,556,301,1,301,58704,58404,"CAJHUB010000608.1 Nyctereutes procyonoides isolate TBG_1078 genome assembly, contig: Nypro646, whole genome shotgun sequence",Nyctereutes procyonoides,301
Q61,TRINITY_DN77607_c0_g1_i1,CAJHUB010000789.1,99.671,0,301,556,304,1,304,32167600,32167903,"CAJHUB010000789.1 Nyctereutes procyonoides isolate TBG_1078 genome assembly, contig: Nypro809, whole genome shotgun sequence",Nyctereutes procyonoides,304
Q61,TRINITY_DN13754_c1_g1_i1,NC_051800.1,100,0,301,556,301,1,301,5740801,5740501,"NC_051800.1 Anas platyrhynchos isolate Z2 breed Pekin duck chromosome 29, ZJU1.0, whole genome shotgun sequence",Anas platyrhynchos,301
Q61,TRINITY_DN22979_c0_g1_i1,NW_006804017.1,99.032,0,301,556,310,2,311,1103946,1103637,"NW_006804017.1 Erinaceus europaeus isolate Erinaceus europaeus_13Jul2011 unplaced genomic scaffold, EriEur2.0 scaffold00094, whole genome shotgun sequence",Erinaceus europaeus,311
Q61,TRINITY_DN15847_c0_g1_i1,JAGTXV010000446.1,100,0,301,556,301,1,301,487437,487737,"JAGTXV010000446.1 Muntiacus reevesi isolate NWPU-IOZ-04 HiC_scaffold_446, whole genome shotgun sequence",Muntiacus reevesi,301
Q61,TRINITY_DN31738_c0_g1_i1,CAJHUB010000627.1,99.032,0,301,556,310,1,310,54994,54685,"CAJHUB010000627.1 Nyctereutes procyonoides isolate TBG_1078 genome assembly, contig: Nypro663, whole genome shotgun sequence",Nyctereutes procyonoides,310
Q61,TRINITY_DN20425_c0_g1_i1,CAJHUB010000619.1,99.672,0,301,556,305,6,310,55391,55694,"CAJHUB010000619.1 Nyctereutes procyonoides isolate TBG_1078 genome assembly, contig: Nypro656, whole genome shotgun sequence",Nyctereutes procyonoides,310
Q61,TRINITY_DN53511_c0_g1_i1,CAJHUB010000711.1,100,0,301,556,301,1,301,39663305,39663605,"CAJHUB010000711.1 Nyctereutes procyonoides isolate TBG_1078 genome assembly, contig: Nypro739, whole genome shotgun sequence",Nyctereutes procyonoides,301
Q61,TRINITY_DN29790_c0_g1_i1,CAJHUB010000710.1,100,0,301,556,301,1,301,44082,43782,"CAJHUB010000710.1 Nyctereutes procyonoides isolate TBG_1078 genome assembly, contig: Nypro738, whole genome shotgun sequence",Nyctereutes procyonoides,301
Q61,TRINITY_DN32289_c0_g1_i1,CAJHUB010000758.1,99.032,0,301,556,310,1,310,197389,197080,"CAJHUB010000758.1 Nyctereutes procyonoides isolate TBG_1078 genome assembly, contig: Nypro781, whole genome shotgun sequence",Nyctereutes procyonoides,310
Q61,TRINITY_DN76856_c0_g1_i1,CAJHUB010000765.1,99.671,0,301,556,304,1,304,324861,325164,"CAJHUB010000765.1 Nyctereutes procyonoides isolate TBG_1078 genome assembly, contig: Nypro788, whole genome shotgun sequence",Nyctereutes procyonoides,304
Q61,TRINITY_DN48380_c0_g1_i1,CAJHUB010000733.1,99.671,0,301,556,304,1,304,106629,106326,"CAJHUB010000733.1 Nyctereutes procyonoides isolate TBG_1078 genome assembly, contig: Nypro759, whole genome shotgun sequence",Nyctereutes procyonoides,304
Q61,TRINITY_DN43968_c0_g1_i1,CAJHUB010000681.1,100,0,301,556,301,1,301,13127429,13127729,"CAJHUB010000681.1 Nyctereutes procyonoides isolate TBG_1078 genome assembly, contig: Nypro711, whole genome shotgun sequence",Nyctereutes procyonoides,301
Q61,TRINITY_DN56732_c0_g1_i1,CAJHUB010000769.1,99.671,0,301,556,304,1,304,84412402,84412705,"CAJHUB010000769.1 Nyctereutes procyonoides isolate TBG_1078 genome assembly, contig: Nypro791, whole genome shotgun sequence",Nyctereutes procyonoides,305
Q61,TRINITY_DN68146_c0_g1_i1,CAJHUB010000565.1,100,0,301,556,301,1,301,39411,39111,"CAJHUB010000565.1 Nyctereutes procyonoides isolate TBG_1078 genome assembly, contig: Nypro607, whole genome shotgun sequence",Nyctereutes procyonoides,301
Q61,TRINITY_DN15744_c0_g1_i1,CAJHUB010000731.1,99.032,0,301,556,310,1,310,50194,50503,"CAJHUB010000731.1 Nyctereutes procyonoides isolate TBG_1078 genome assembly, contig: Nypro757, whole genome shotgun sequence",Nyctereutes procyonoides,310
Q61,TRINITY_DN10142_c0_g1_i1,CAJHUB010000664.1,99.671,0,301,556,304,1,304,117986,117683,"CAJHUB010000664.1 Nyctereutes procyonoides isolate TBG_1078 genome assembly, contig: Nypro697, whole genome shotgun sequence",Nyctereutes procyonoides,304
Q61,TRINITY_DN75447_c0_g1_i1,CAJHUB010000635.1,100,0,302,558,302,1,302,182759,182458,"CAJHUB010000635.1 Nyctereutes procyonoides isolate TBG_1078 genome assembly, contig: Nypro670, whole genome shotgun sequence",Nyctereutes procyonoides,302
Q61,TRINITY_DN72428_c0_g1_i1,NW_024009780.1,99.673,0,302,558,306,1,305,124300,124605,"NW_024009780.1 Anas platyrhynchos isolate Z2 breed Pekin duck unplaced genomic scaffold, ZJU1.0 scaffold251, whole genome shotgun sequence",Anas platyrhynchos,305
Q61,TRINITY_DN34994_c0_g1_i1,CAJHUB010000760.1,99.353,0,302,558,309,1,309,24991949,24992255,"CAJHUB010000760.1 Nyctereutes procyonoides isolate TBG_1078 genome assembly, contig: Nypro783, whole genome shotgun sequence",Nyctereutes procyonoides,309
